ts_ns,ax,ay,az,gx,gy,gz,mx,my,mz
1774594645840,2.1691468,-0.25378537,9.050082,0.52412236,0.46670106,-0.015882496,-27.9,-5.7599998,-18.779999
1774594645850,2.0015526,-0.33518824,8.959103,0.50579643,0.535118,0.009773844,-27.72,-6.06,-19.08
1774594645861,2.207454,-0.50757074,8.944737,0.31764993,0.7819075,0.12950343,-26.88,-5.52,-18.9
1774594645873,2.2361844,-0.25378537,8.714894,0.19303341,0.8405506,0.14660765,-26.939999,-5.7,-18.84
1774594645884,2.1499932,0.05267244,8.6574335,0.10873401,0.81489426,0.13927728,-27.0,-6.12,-18.72
1774594645893,2.0925324,0.37349546,8.576031,-0.052534413,0.66706485,0.103847094,-26.519999,-6.42,-19.08
1774594645904,2.0733786,0.40701428,8.6574335,-0.07086037,0.57787853,0.08552113,-25.74,-5.8799996,-18.96
1774594645915,1.9919758,0.40222588,9.040505,-0.06352998,0.48991394,0.061086524,-25.38,-5.3399997,-19.74
1774594645925,1.8626889,0.35434186,9.409213,-0.029321533,0.47158796,0.03176499,-24.96,-4.62,-20.16
1774594645936,1.757344,0.2681506,9.844957,0.10140363,0.5742133,-0.043982297,-25.8,-5.22,-21.24
1774594645947,1.5514427,0.22505496,9.935937,0.1881465,0.6963864,-0.080634214,-25.68,-5.1,-20.58
1774594645957,1.3072342,0.39743748,9.907207,0.35430184,0.93462384,-0.08552113,-24.48,-4.8599997,-20.58
1774594645968,1.1923125,0.33997664,9.701305,0.44715336,0.956615,-0.095294975,-23.939999,-4.74,-20.64
1774594645979,1.0103531,0.29209262,9.821015,0.5363397,0.84421575,-0.12339478,-23.76,-4.8599997,-21.0
1774594645989,0.7374141,0.25378537,9.931149,0.61575216,0.7464773,-0.172264,-23.46,-4.92,-20.88
1774594645999,0.4357447,0.34476504,9.481039,0.70249504,0.63407815,-0.21380283,-23.699999,-5.8799996,-21.359999
1774594646009,0.39264908,0.46447513,9.232041,0.71959925,0.5497787,-0.17959438,-23.279999,-6.0,-21.42
1774594646020,0.33997664,0.58418524,9.030929,0.7147123,0.48747048,-0.14538592,-22.98,-5.7599998,-21.66
1774594646031,0.10534488,0.7613561,8.461109,0.59742624,0.40194935,-0.080634214,-22.199999,-5.64,-21.48
1774594646042,-0.21547815,0.80445176,8.346188,0.5204572,0.27122417,-0.05131268,-22.38,-6.12,-21.66
1774594646053,-0.45968673,0.8283938,8.394072,0.453262,0.1600467,-0.017104227,-22.26,-6.24,-21.6
1774594646064,-0.51714754,0.90021986,8.485051,0.36896262,0.029321533,0.043982297,-22.14,-5.94,-22.08
1774594646075,-0.33039984,0.94331545,8.781932,0.22113322,-0.17104226,0.13439035,-21.66,-5.64,-21.9
1774594646087,-0.2873042,0.91937345,9.059659,0.17348573,-0.20891592,0.15149458,-21.66,-5.7,-21.48
1774594646098,0.22505496,0.93852705,9.313444,0.08307768,-0.22968534,0.10629055,-21.72,-5.3399997,-21.84
1774594646108,0.46926352,0.90021986,9.452309,0.0720821,-0.23579398,0.035430185,-22.02,-5.3399997,-22.26
1774594646118,0.25378537,0.89064306,9.811439,0.112399206,-0.07819075,-0.10751228,-22.26,-5.7,-22.02
1774594646129,0.15801731,0.8810662,9.873688,0.13927728,0.12583824,-0.052534413,-21.9,-5.46,-21.42
1774594646141,0.2633622,0.81881696,9.787497,0.14782938,0.2761111,0.008552114,-21.48,-5.22,-21.0
1774594646151,0.8619126,0.545878,9.346964,0.11728613,0.34697145,0.080634214,-21.359999,-5.4,-21.539999
1774594646161,0.16759412,0.94331545,9.064447,0.12950343,0.32742378,0.035430185,-21.72,-5.94,-21.779999
1774594646172,-0.7613561,1.2785037,8.801085,0.20891592,0.27488935,-0.007330383,-22.02,-6.18,-22.08
1774594646182,-1.091756,0.79966336,9.006987,0.3555236,0.010995574,0.19303341,-22.38,-6.48,-22.26
1774594646193,-0.9528923,0.80445176,9.088389,0.3555236,-0.08674286,0.2932153,-22.32,-6.3599997,-22.38
1774594646205,-0.7134721,1.0486604,9.006987,0.36163223,-0.22724187,0.38240165,-22.14,-6.12,-22.14
1774594646216,-0.06703765,1.4413095,9.174581,0.40194935,-0.44959682,0.44593164,-21.9,-5.46,-22.38
1774594646228,0.2633622,1.5993267,9.093178,0.40317106,-0.48747048,0.4886922,-21.66,-5.4,-22.5
1774594646238,0.6464345,1.757344,8.901642,0.3371976,-0.4728097,0.5131268,-22.98,-6.6,-22.38
1774594646250,0.79487497,1.8914193,8.90643,0.29443705,-0.44348818,0.5021312,-23.039999,-6.48,-21.72
1774594646262,0.93373865,2.0733786,9.021352,0.2406809,-0.38973203,0.4801401,-23.22,-6.3599997,-21.24
1774594646273,0.7661445,1.8579005,9.246407,0.10751228,-0.17959438,0.43860126,-23.16,-5.7,-21.6
1774594646284,0.46447513,1.2689269,9.461885,-0.009773844,-0.059864793,0.44715336,-23.519999,-5.7599998,-21.42
1774594646294,0.545878,0.56982,10.060435,-0.31887165,0.017104227,0.52290064,-23.22,-4.92,-20.76
1774594646304,0.82360536,0.5410896,10.55843,-0.43004912,-0.035430185,0.5534439,-23.519999,-4.7999997,-20.82
1774594646315,0.9720459,0.40701428,12.08593,-0.5131268,-0.1441642,0.5656612,-23.22,-4.2599998,-20.82
1774594646326,1.9632454,0.16280572,12.674904,-0.35796702,-0.19058995,0.5363397,-24.06,-3.84,-21.9
1774594646337,2.5809495,-0.095768064,12.804191,-0.17592919,-0.15393804,0.5021312,-24.779999,-4.08,-21.66
1774594646348,2.791639,-0.1388637,12.741941,0.012217305,-0.17104226,0.39950588,-25.8,-3.9599998,-22.8
